TEXT,PREDICTION
What do you call a cow with no legs? Ground beef. What about 3 legs? Lean beef. Two legs?,0
They made a mixed drink after Hurricane Sandy,0
The key to success I learned from working at a brothel is to,0
Seventy-five-year-old Marvin goes to the local mall and tries to find a gift for his wife for Valentine's Day.,0
What's the difference between a Ferrari and a pile of dead babies,0
What's the difference between science and religion?,0
What's the difference between Yo Momma and a pretzel?,0
Jaguar just announced an XK-E Concept car they will show at the Frankfurt Auto Show this year.,0
Scientists removed the right half of a man's brain &,0
A man mentions to his coworker that her hair smells nice today,0
I started a cycling club. It's been 1 Month and still no members....,0
I thought the morgue had cremated my dead son.,1
How do you shut an Italian up for good?,0
And I???m really excited........,0
I was in work yesterday and saw an article on a magazine...,0
Did you hear about the meth-head comedian?,0
What do Kim-Jung Un and a penis-shaped potato have in common?,0
"???I know I???m a winter, spring, and summer risk too.??-",0
My roommate locked himself in the bathroom and I heard him crying.,0
"Sex, for men, is kinda like pizza...",0
"Last night, ...",0
Ever wondered why atheists don't solve exponential equations?,0
What's it called when you leave Charleston for Irma?,0
"The detective said, ""Something's fishy about this evidence...""",0
What do you call a book club that has been stuck on the same book for hundreds of years?,0
I dont believe in God,0
I feel sorry for gay vegans,0
Directions to the Post Office,0
What do you say to an annoying pacifist?,0
Why couldn't the tomato cross the road?,0
What does a vegan and a 2 year old have in common?,0
"Yo momma's so dumb,",0
What do you call a police man in bed?,0
What did the blind man say when he passed the fish market?,0
I have the body of a 18 year old,0
My Girlfriend wont stop crying during Hurricane Irma,0
I???m a magician of sorts. I steal candy bars using sleight of hand.,0
The way they seem to just never leave.,0
Yo momma so fat,0
Two idiots envy their boss,0
Build a man a fire and you'll keep him warm for a night,0
A nurse died and arrived before St. Peter,0
My dad had a strict rule where I couldn't go on dates if my age was on the clock...,0
"My friend invented a machine that can take a disc out of a console, then put a new one in",0
Church in Florida is underwater.,0
What do you call a bear with no teeth?,0
My cat actually plays fetch.,0
The movie IT,0
Went to see IT tonight and people were really scared...,0
Even though Florida chose to be a red state..,0
"I work in a prison, and when people ask me if I enjoy my job...",0
What do you call the guy whose feet always fall asleep?,0
What did the Redditor say to the leprechaun at the end of the rainbow?,0
A hydrogen atom lost its electron and went to police station to file missing electron report.,0
I'm emotionally constipated.,0
I lost both my legs yesterday,0
